ParticipantName,TeamName,Position,ELO
Jorge Herrando,Osasuna,DEF,1455
Adam Aznou,Real Valladolid,DEF,1455
Max Aarons,Valencia CF,DEF,1455
Ander Herrera,Athletic Club,MID,1455
Adnan Januzaj,Las Palmas,ATT,1454
Enrique Barja,Osasuna,ATT,1454
Arthur,Girona,MID,1454
Sergi Canos,Valencia CF,ATT,1454
Oscar Valentin,Rayo Vallecano,MID,1454
Selim Amallah,Real Valladolid,ATT,1453
Hugo Guillamon,Valencia CF,MID,1452
Tamas Nikitscher,Real Valladolid,MID,1451
Marcos Alonso,Celta de Vigo,DEF,1451
Nahuel Tenaglia,Alavés,DEF,1451
Jailson,Celta de Vigo,MID,1451
Brais Méndez,Real Sociedad,ATT,1451
Marc Bernal,Barcelona,MID,1451
Aleksandar Sedlar,Alavés,DEF,1450
Ismael Bekhoucha,Getafe,MID,1450
Tanguy Nianzou,Sevilla,DEF,1450
Adrià Altimira,Leganés,DEF,1450
Toni Lato,Mallorca,MID,1449
Moussa Diarra,Alavés,DEF,1449
Karl Hein,Real Valladolid,GK,1449
Lucas Torro,Osasuna,MID,1448
Álvaro Aguado,Espanyol,MID,1448
Omar El Hilali,Espanyol,DEF,1447
Diego Garcia,Leganés,ATT,1447
Rafa Mir,Valencia CF,ATT,1447
Vladyslav Krapyvtsov,Girona,GK,1446
Fran González,Real Madrid,GK,1446
André Ferreira,Real Valladolid,GK,1446
Iván Villar,Celta de Vigo,GK,1446
Anuar,Real Valladolid,DEF,1446
Arnau Rafus,Real Valladolid,GK,1446
Álex Padilla,Athletic Club,GK,1446
Álvaro Fernández,Sevilla,GK,1446
Francisco Vieites,Real Betis,GK,1446
Pau Lopez,Girona,GK,1446
Unai Marrero,Real Sociedad,GK,1446
Robert Navarro,Mallorca,ATT,1444
Ilaix Moriba,Celta de Vigo,MID,1443
Manuel Sánchez,Alavés,DEF,1443
Sergi Guardiola,Rayo Vallecano,ATT,1442
Stanko Juric,Real Valladolid,MID,1442
Umar Sadiq,Valencia CF,ATT,1442
Damian Rodriguez,Celta de Vigo,MID,1442
Adama Boiro,Athletic Club,DEF,1440
Dario Essugo,Las Palmas,MID,1440
Andreas Christensen,Barcelona,DEF,1440
Jon Pacheco,Real Sociedad,DEF,1440
Luka Sucic,Real Sociedad,ATT,1439
Cristian Portu,Girona,ATT,1439
Adrián Embarba,Rayo Vallecano,ATT,1439
Dinko Horkas,Las Palmas,GK,1439
Jesus Owono,Alavés,GK,1439
Javier Munoz,Las Palmas,ATT,1438
Abdon Prats,Mallorca,ATT,1438
Walid Cheddira,Espanyol,ATT,1438
Ander Barrenetxea,Real Sociedad,ATT,1437
Stefan Bajcetic,Las Palmas,MID,1437
Enzo Loiodice,Las Palmas,MID,1437
Alex Sola,Getafe,ATT,1436
Eric Bailly,Villarreal,DEF,1435
Ezequiel Ávila,Real Betis,ATT,1435
Alfonso Espino,Rayo Vallecano,DEF,1435
Renato Tapia,Leganés,MID,1434
Javi Galán,Atlético de Madrid,DEF,1433
Samu,Mallorca,MID,1433
Cédric Bakambu,Real Betis,ATT,1432
Adrián Rodriguez,Alavés,GK,1431
Stole Dimitrievski,Valencia CF,GK,1431
Diego Rico,Getafe,DEF,1429
