ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Darryl Bakola,Marseille,ATT,,,,,,,1.0,,,0.0,,0.1,,0.0,,,,,,,,,,,,,,,
Dayann Methalie,Toulouse,MID,0.5,15.6,,1.0,1.0,0.2,6.0,,1.7,1.1,0.08,0.5,0.04,0.7,2.5,,,,0.8,,1.0,0.4,,,,0.4,1.5,,4.0
Dehmaine Tabibou,Nantes,MID,1.2,21.8,,1.0,,,11.0,,1.4,0.8,0.1,0.5,0.06,0.2,1.8,,,,1.2,,,0.4,,,,0.2,1.6,,3.0
Deiver Machado,Lens,MID,,,,,1.0,,,,,,,0.4,,0.2,,,,,,,,,,,,,,,1.0
Deiver Machado,Nantes,MID,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
Denis Zakaria,Monaco,MID,1.4,44.7,1.0,1.0,1.0,0.2,4.0,,1.7,0.6,0.07,0.3,0.03,,1.3,,,,1.7,,,0.1,1.0,,,,0.5,,3.0
Derek Cornelius,Marseille,DEF,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Dermane Karim,Lorient,ATT,1.2,28.8,2.0,1.0,,0.2,9.0,,0.3,0.6,0.06,0.9,0.09,0.9,1.4,,0.1,,0.7,,1.0,0.6,,,,0.2,1.3,1.0,3.0
Diego Moreira,Strasbourg,MID,1.3,34.2,3.0,9.0,1.0,0.2,26.0,,1.2,2.9,0.18,1.3,0.08,2.0,0.8,,0.12,,0.9,,,0.5,,,,0.4,1.2,2.0,4.0
Dilane Bakwa,Strasbourg,MID,,,2.0,2.0,,,3.0,,,0.8,,0.1,,0.1,,,,,,,1.0,,,,,,,1.0,
Djaoui Cisse,Rennes,MID,1.9,37.8,,,,0.5,10.0,,0.4,0.6,0.07,0.7,0.07,0.8,1.6,,,,0.4,,,0.7,,,,0.5,0.9,,2.0
Djibril Sidibé,Toulouse,DEF,1.4,25.7,3.0,3.0,1.0,0.2,10.0,,2.3,1.2,0.08,1.9,0.13,2.0,1.1,,0.13,,0.5,2.0,,0.2,,,,0.2,0.5,2.0,1.0
Dominik Greif,Lyon,GK,,26.6,1.0,,,,1.0,7.0,1.1,0.0,0.0,,,,,1.1,,0.1,,,,,,69.6,2.4,,,,
Donovan Léon,Auxerre,GK,,15.9,,,,,1.0,4.0,0.8,0.0,0.0,,,,0.1,1.4,,1.6,,,,,1.0,71.6,3.6,,0.1,,
Désiré Doué,Paris Saint-Germain,ATT,1.5,46.2,2.0,1.0,1.0,0.2,14.0,,0.2,1.1,0.17,2.5,0.38,3.7,1.5,,0.46,,0.6,,2.0,1.5,,,,1.4,2.5,3.0,
Elias Legendre,Rennes,Code_3,,,,,1.0,,2.0,,,0.3,,0.1,,,,,,,,,,,,,,,,,
Eliesse Ben Seghir,Monaco,ATT,,,,,,,,,,0.0,,0.1,,,,,,,,,,,,,,,,,
Elisha Owusu,Auxerre,MID,1.3,27.9,,,,0.4,6.0,,2.0,0.4,0.03,0.1,0.0,,1.8,,,,1.2,,,0.7,,,,,0.4,,5.0
Elye Wahi,Nice,ATT,,,,1.0,2.0,,2.0,,,0.2,,1.6,,2.5,,,,,,,,,,,,,,3.0,1.0
Emanuel Emegha,Strasbourg,ATT,,,2.0,2.0,2.0,,3.0,,,0.1,,3.6,,3.1,,,,,,,,,,,,,,4.0,3.0
Emerson,Marseille,DEF,1.0,52.2,3.0,3.0,,0.4,20.0,,2.5,2.2,0.17,0.3,0.02,0.4,0.6,,,,1.9,,,0.3,,,,0.1,0.3,,1.0
Emersonn,Toulouse,ATT,0.3,10.0,2.0,,6.0,,9.0,,1.1,0.4,0.04,4.8,0.49,3.6,2.8,,0.31,,0.5,,,0.9,1.0,,,1.0,0.7,3.0,3.0
Emmanuel Biumla,Angers,DEF,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Endrick,Lyon,ATT,,,1.0,2.0,2.0,,5.0,,,0.6,,2.3,,2.8,,,,,,,1.0,,,,,,,3.0,
Enzo Koffi,Le Havre,Code_2,,,,,,,,,,0.0,,0.1,,0.3,,,,,,,,,,,,,,,
Enzo Molebe,Lyon,ATT,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
