ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Clément Lenglet,Atlético de Madrid,DEF,,,,1.0,,,3.0,,,0.2,,0.1,,,,,,,,,,,1.0,,,,,,2.0
Coba da Costa,Getafe,ATT,1.1,23.9,,,,,3.0,,0.3,0.6,0.15,0.3,0.08,0.1,2.1,,,,0.3,,,0.8,,,,0.3,2.7,,1.0
Conor Gallagher,Atlético de Madrid,MID,0.8,43.8,,1.0,1.0,0.4,4.0,,0.7,0.5,0.07,1.1,0.15,1.7,2.4,,0.27,,1.5,,,0.9,,,,0.7,0.4,2.0,2.0
Cristhian Stuani,Girona,ATT,,9.5,,,2.0,,1.0,,0.9,0.0,0.01,2.9,1.26,3.4,2.6,,1.29,,0.4,,2.0,,,,,2.2,0.9,3.0,2.0
Cristian Portu,Girona,ATT,,,,,3.0,,3.0,,,0.6,,1.4,,2.3,,,,,,,,,,,,,,,1.0
Cristian Rivero,Valencia CF,GK,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Cédric Bakambu,Real Betis,ATT,,,,,2.0,,1.0,,,0.0,,0.8,,1.1,,,,,,,,,,,,,,1.0,
César Azpilicueta,Sevilla,DEF,,,,,,,1.0,,,0.1,,,,,,,,,,,,,,,,,,,3.0
César Tárrega,Valencia CF,DEF,2.5,44.0,,,,1.0,2.0,,6.4,0.1,0.01,0.3,0.01,0.2,1.4,,,,1.0,1.0,,,,,,0.1,0.5,,6.0
Daley Blind,Girona,DEF,4.8,62.2,,1.0,,0.6,8.0,,4.4,0.8,0.04,0.0,0.0,,0.5,,,,1.2,2.0,,0.1,,,,,0.3,,1.0
Damian Rodriguez,Celta de Vigo,MID,,,,,,,2.0,,,0.1,,0.1,,,,,,,,,,,,,,,,,1.0
Dani Calvo,Real Oviedo,DEF,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3.0
Dani Ceballos,Real Madrid,MID,3.1,79.6,,,,0.8,9.0,,1.0,0.7,0.14,0.0,0.01,,1.2,,,,1.2,,,0.4,,,,,0.6,,1.0
Dani Olmo,Barcelona,ATT,1.4,46.0,4.0,5.0,5.0,,29.0,,1.0,3.8,0.32,5.4,0.46,5.9,1.0,,0.51,,0.5,,1.0,0.6,,,,1.3,0.3,6.0,
Dani Pérez,Real Betis,MID,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Daniel Carvajal,Real Madrid,DEF,,,,1.0,,,2.0,,,0.7,,0.2,,,,,,,,1.0,,,,,,,,,
Daniel Parejo,Villarreal,MID,3.5,48.1,,3.0,,0.6,17.0,,0.8,0.9,0.09,0.2,0.02,,1.0,,,,0.7,,,0.1,,,,,0.5,,2.0
Daniel Raba,Valencia CF,ATT,3.6,28.6,1.0,1.0,,,2.0,,0.4,0.4,0.13,0.2,0.08,0.1,2.2,,,,1.4,,,1.4,,,,0.4,1.1,,
Daniel Rodriguez,Mallorca,ATT,,,,,,,1.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Daniel Vivian,Athletic Club,DEF,3.6,40.3,,1.0,2.0,0.5,3.0,,5.2,0.5,0.02,1.0,0.06,1.0,1.5,,,,1.3,1.0,,0.2,1.0,,,0.2,0.1,,6.0
David Affengruber,Elche,DEF,2.1,53.2,,,1.0,0.9,5.0,,5.8,0.5,0.03,0.4,0.02,0.2,1.1,,,,1.6,1.0,,0.1,1.0,,,0.1,0.3,,4.0
David Alaba,Real Madrid,DEF,,,,,,,,,,0.0,,0.0,,0.1,,,,,,,,,,,,,,,
David Carmo,Real Oviedo,DEF,5.2,44.1,,,,1.0,4.0,,7.9,0.3,0.02,0.9,0.06,1.5,1.3,,0.07,,1.0,,,0.1,1.0,,,0.2,0.1,1.0,6.0
David Costas,Real Oviedo,DEF,3.8,38.0,,1.0,1.0,0.7,4.0,,5.1,0.2,0.01,0.4,0.03,,0.8,,,,1.2,,,,,,,,0.4,,2.0
David Hancko,Atlético de Madrid,DEF,2.6,43.6,2.0,4.0,1.0,0.3,12.0,,3.2,1.9,0.1,0.8,0.04,0.2,0.6,,,,0.7,,,0.3,,,,0.2,0.3,,
David Lopez,Girona,DEF,,,,,1.0,,,,,0.0,,0.6,,0.8,,,,,,,,,,,,,,,
David Lopez,Mallorca,DEF,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1.0
David Soria,Getafe,GK,,13.1,,,,,1.0,5.0,1.2,0.1,0.0,,,,,1.2,,-1.5,,,,,,71.9,3.1,,,,2.0
Davinchi,Getafe,MID,,,,,,,2.0,,,0.5,,0.2,,0.1,,,,,,,,,,,,,,,1.0
Dawda Camara,Girona,ATT,,,,,,,2.0,,,0.0,,0.1,,0.0,,,,,,,,,,,,,,,
Dean Huijsen,Real Madrid,DEF,4.7,64.4,1.0,1.0,2.0,0.7,8.0,,5.4,1.0,0.08,1.8,0.14,1.9,0.9,,0.08,,1.1,,,0.1,1.0,,,0.2,0.1,1.0,3.0
Denis Suárez,Alavés,MID,1.8,49.8,,1.0,1.0,0.2,12.0,,0.7,1.0,0.1,0.7,0.07,0.8,1.3,,0.1,,0.4,,,0.6,,,,0.2,1.3,1.0,4.0
Diego Llorente,Real Betis,DEF,,,,,,,,,,0.0,,0.7,,1.0,,,,,,,,,,,,,,1.0,
Diego Lopez,Valencia CF,ATT,0.6,17.4,,3.0,3.0,0.1,10.0,,0.6,1.2,0.08,2.2,0.16,2.0,1.0,,0.21,,0.6,,,0.6,,,,0.3,0.4,3.0,2.0
Diego Morcillo,Alavés,Code_3,,,,,1.0,,,,,0.0,,0.4,,,,,,,,,,,,,,,,,
